"Chr"	"WT.O1"	"WT.O2"	"MUT.O1"	"MUT.O2"	"WT.Term.Ratio"	"MUT.Term.Ratio"	"Corr.Coeff"	"Euclidean.Dist"	"FirstDer.Corr"	"FirstDer.Dist"	"SecDer.Corr"	"SecDer.Dist"
15	615928	658455	617100	658609	0.533308251229	0.532197836614	0.988190243782	57.2887642032	0.990173875327	7.14398041255	0.958582512422	0.18686532367
4	750119	807692	750377	808247	0.530352769527	0.556333160532	0.990849669468	136.831619474	0.95083284407	18.5543555801	0.878589146434	0.238988927461
4	436495	461624	436261	461930	0.478968522424	0.356227355955	0.98961004113	46.0705436025	0.974563858995	9.35908509622	0.930700521004	0.273246830854
6	31210	69351	31609	68582	0.15112346294	0.0847645579206	0.853118787228	84.9864760537	0.889639350429	54.0584352386	0.859130804213	2.64055554056
14	412474	449239	412360	449540	0.522018223854	0.791877353416	0.929007796641	182.563422327	0.924855018025	27.7263479779	0.89246791162	0.562092484778
4	125254	215514	124271	215320	0.539253268336	0.492613867258	0.986334618228	188.789222434	0.967383535979	20.0241736819	0.917474750458	0.369536310434
3	39589	74291	39521	74217	0.514696559276	0.50553377911	0.996320419584	144.440742055	0.940630739484	56.576954989	0.850095814638	2.66484005246
13	94688	137521	94384	137440	0.44657156865	0.488456893348	0.986715431885	158.981256654	0.979648125439	22.8216829612	0.954302781649	0.353146154303
4	410488	436495	409659	436261	0.301764909447	0.333959852643	0.981673532994	103.617553177	0.992126137357	19.170177556	0.934304134013	0.310511337806
13	649215	687643	649230	687166	0.841105443947	0.909057359764	0.993592274088	107.318237085	0.977744080349	16.5637122752	0.922854209353	0.321668956234
5	287901	316518	288463	316684	0.44246426949	0.13865561107	0.824663668948	164.627560188	0.888539689684	34.023258318	0.915746075823	0.695693776197
9	247232	311422	247165	310813	0.555771927091	0.581149446958	0.986775104091	243.920555059	0.91122786085	51.105762012	0.849094398006	1.8687205012
11	153163	197290	153204	196547	0.599836834591	0.50654084858	0.949935786557	187.639911532	0.951832483061	26.4395082239	0.881884260091	0.672829912796
7	485117	508280	485087	508109	0.581617234382	0.593084875337	0.99760397735	56.3968542013	0.987997182608	19.1486809516	0.899052853372	0.602434950709
8	115782	133279	115082	133246	0.485854717952	0.600473463995	0.87750999409	106.093123925	0.927909104574	38.6310923446	0.81953302599	0.996213524716
7	117118	165233	118504	163760	0.130770030136	0.059704790525	0.802034206964	138.298622337	0.947933239025	17.4391323922	0.799593710144	0.462412852644
7	64461	117118	64157	118504	0.635490058302	0.665952122472	0.977228933945	103.745899242	0.953891156997	17.6372667466	0.933874492167	0.299896502753
15	489456	566602	488464	565943	0.536586472403	0.485996205423	0.957713827435	220.840002013	0.922379683884	26.0419330469	0.915799992268	0.407457374986
16	454801	512169	455758	512295	0.423807697671	0.447476873552	0.993470095392	125.844004977	0.978653175298	16.6617721653	0.933638030492	0.355319403494
4	461624	503388	461930	504397	0.77588353606	0.645607177338	0.924964561953	151.77216016	0.942526534595	18.1282712459	0.923257130668	0.34237744453
13	432015	470750	431992	469429	0.650083903446	0.800838742421	0.936581300643	121.769090378	0.900352720366	24.7898827584	0.889086798875	0.467092616486
10	442802	453551	443458	455664	0.935901014048	0.523349172538	0.882591786828	96.1173138229	0.980090870808	17.8491436708	0.942266476613	0.450826734772
13	536133	611877	536260	611828	0.589327207436	0.357611687487	0.992180861171	128.201572849	0.971375719317	23.3879675802	0.943907277631	0.479776009686
5	145536	173726	145556	173490	0.467328840014	0.42632634066	0.992079130081	98.6112616946	0.966040256762	29.9624427219	0.90195422416	0.666096561584
12	373496	412082	373392	412577	0.656222464106	0.620645655225	0.996596487707	177.135594956	0.981543465529	29.0583080573	0.867712945699	0.638962593247
4	215514	231113	215320	232455	0.506635040708	0.353195214473	0.982769719791	47.6631396265	0.960838262985	8.43403355821	0.959599491472	0.176589916944
4	703357	750119	703242	750377	0.598434626406	0.620409462183	0.986770864936	78.2457320403	0.961031174223	14.8298951398	0.94972342111	0.217530016954
10	68284	99343	68656	99380	0.426382047072	0.395423772946	0.988584550405	66.7821962867	0.982580335154	15.4494769046	0.958371548399	0.367831230891
14	63881	89513	63225	89556	0.0907459425718	0.144012760624	0.928813264271	96.5350036454	0.966463890777	17.9165200255	0.904450088826	0.488440786708
9	106039	135204	106199	135255	0.80881193211	0.76252753304	0.990227627248	103.408675177	0.956250142726	25.8176952576	0.849232336365	1.05637109155
16	418356	454801	418772	455758	0.722046920016	0.527523927973	0.921713757724	233.031250563	0.929318184347	25.3876716564	0.908942218981	0.490121795759
14	250804	281244	251325	280736	0.299770039422	0.250654517017	0.973820945541	60.4199131286	0.98343407891	11.2527162734	0.944605215542	0.292565649655
