Chr	WT O1	WT O2	MUT O1	MUT O2	WT Term Ratio	MUT Term Ratio	Corr Coeff	Euclidean Dist	FirstDer Corr	FirstDer Dist	SecDer Corr	SecDer Dist
1	31254	42057	31179	40502	0.617791354253	0.735278343881	0.983460309979	27.9211180646	0.905147292877	26.0429958743	0.893084446182	49.8651951663
1	42057	70645	40502	70679	0.203861760179	0.143000740078	0.781390329136	75.4542596303	0.879390497741	60.0197665618	0.87378068765	107.318875282
1	70645	147675	70679	147775	0.327807347787	0.556340147349	0.922337389481	434.237268105	0.844282359606	125.93967475	0.815260544954	206.11651684
1	147675	159639	147775	159619	0.426446004681	0.338990206011	0.91168071206	110.263856018	0.905666884007	61.1047407416	0.921746382589	77.7648612806
1	159639	176146	159619	176230	0.458653904404	0.418879056047	0.98032546664	75.0142038173	0.969561732864	74.2967975047	0.966809124431	155.913115285
2	63399	198436	63430	197951	0.463310055762	0.699165929483	0.945324707059	525.082676192	0.90377744063	59.638814085	0.884191715868	38.5591432744
2	198436	240154	197951	239844	0.457596241431	0.64633709689	0.890036890515	353.587127066	0.874642644822	48.5181184654	0.854609198741	31.2224677073
2	240154	255011	239844	254708	0.189607592381	0.0836921420883	0.839963898156	108.414177528	0.770587368621	43.2427643355	0.803438665396	28.8777894059
2	255011	326286	254708	326195	0.354394949141	0.635821897688	0.886331434388	308.106092225	0.657825926552	72.4537025983	0.483230875773	74.4681013988
2	326286	407934	326195	407647	0.335011267882	0.655310284994	0.846595281029	393.611874226	0.777895465623	62.979491238	0.802320828806	38.5149011497
2	407934	486935	407647	486773	0.558638498247	0.519626924146	0.986230849312	353.534356466	0.950060307215	31.7071494276	0.927517216309	24.8957047513
2	486935	623591	486773	623441	0.509066561293	0.451850469752	0.984505101782	291.714855103	0.916749883195	40.3009405819	0.902546181267	28.1982775219
2	623591	704903	623441	705200	0.722956021251	0.52292713952	0.924954994154	307.241074023	0.921642564327	31.4123436327	0.938863686872	21.4139238346
