"Chr"	"WT.O1"	"WT.O2"	"MUT.O1"	"MUT.O2"	"WT.Term.Ratio"	"MUT.Term.Ratio"	"Corr.Coeff"	"Euclidean.Dist"	"FirstDer.Corr"	"FirstDer.Dist"	"SecDer.Corr"	"SecDer.Dist"
1	70645	147675	70679	147775	0.327807347787	0.556340147349	0.922337389481	434.231783952	0.845059656549	132.022216201	0.771876486283	5.89672097784
2	63399	198436	63430	197951	0.463310055762	0.699165929483	0.945324707059	524.926355968	0.903314262611	60.002478943	0.771437623244	1.35364896332
2	326286	407934	326195	407647	0.335011267882	0.655310284994	0.846595281029	393.587361821	0.785307349709	63.2059510758	0.719081716944	1.05098536361
2	407934	486935	407647	486773	0.558638498247	0.519626924146	0.986230849312	353.527032008	0.947372134652	33.7204882492	0.803063325295	0.8394566318
2	486935	623591	486773	623441	0.509066561293	0.451850469752	0.984505101782	291.70962918	0.919163947443	40.8397197464	0.82289411611	1.04098375263
2	623591	704903	623441	705200	0.722956021251	0.52292713952	0.924954994154	307.221940675	0.92363597902	31.8618128577	0.906488440109	0.746427047508
3	132215	166907	132560	166789	0.487720511934	0.433258348184	0.880380966065	308.117683269	0.235082146782	408.671910225	0.0553436507414	62.8813596052
4	231113	328569	232455	329184	0.463183385323	0.469300830154	0.992858639716	350.758507242	0.963370018508	27.0128372407	0.840912447189	0.562883111562
4	328569	410488	329184	409659	0.52410307743	0.480012426219	0.97727399735	318.068431036	0.948532798609	27.3744151414	0.768614775691	0.443595195686
4	555675	631066	555167	631703	0.800108766298	0.778117487196	0.959071295484	309.237012993	0.92488153196	21.7012617409	0.850598195156	0.425173240496
5	59377	94047	59297	93977	0.467378136718	0.401023644752	0.938549049018	283.711651478	0.87406763782	63.1653104543	0.891757246925	0.954049401904
5	94047	145536	93977	145556	0.519994561945	0.546559646368	0.97717642851	310.447890483	0.933954371039	51.4738534315	0.900764852396	0.960374345843
5	407130	438787	406782	438847	0.388855545377	0.815063152971	0.733929944378	422.034501824	0.830246131934	53.3921311441	0.885485661057	0.88693234265
6	69351	118717	68582	118626	0.124052991938	0.361511869555	0.738055084885	422.13946481	0.863028655388	83.2049146086	0.80546460955	3.65007473002
7	286286	389349	286746	389312	0.468558066425	0.306958446269	0.977399992149	331.687106275	0.961056593802	33.9618704596	0.893508733545	0.566819591306
7	421184	485117	421367	485087	0.480487385231	0.322457627119	0.902470339512	441.43909338	0.865389366971	52.7343172972	0.881556028838	0.63228668728
7	659246	714433	659665	715091	0.475057531665	0.650795655469	0.900764634743	265.00732167	0.892698709321	30.7973019417	0.920388976549	0.364585660519
7	834680	888123	834755	888079	0.489156671594	0.477833620884	0.9872780119	255.672601268	0.92776516588	42.023787665	0.721712358094	0.776184065166
7	888123	978297	888079	978553	0.701111185042	0.595497048876	0.973492995664	298.628654933	0.938265956345	30.6982331704	0.839745819888	0.488445585997
8	63919	115782	62997	115082	0.496394346644	0.424172026495	0.173322809531	1582.89039605	0.129473731729	566.927191896	0.0440438728598	39.4506504868
8	133279	167633	133246	167889	0.839378238342	0.588401697313	0.927357471818	292.225861446	0.898059091173	41.1480676052	0.831688687024	0.920043952816
8	447694	501984	447715	502240	0.750856511328	0.618615314076	0.944351379582	264.277090337	0.937434105666	36.1581499105	0.86070684859	1.00526533106
9	175292	214941	174380	214881	0.192463870463	0.250462951532	0.906132156951	296.32287826	0.844096029476	69.7221467958	0.713012419957	2.24253665616
10	99343	161993	99380	162020	0.557829209896	0.392975734355	0.901954687822	322.987168452	0.90345811672	44.0801784651	0.881136744211	0.819265333582
10	161993	204324	162020	204933	0.28560629326	0.399436068324	0.904102931317	255.620753236	0.913445775694	36.8935385359	0.907657290208	0.666057185073
10	227424	299273	228307	299315	0.711311222146	0.647497465074	0.959148832993	307.754027741	0.966141784273	25.4746667676	0.93144197134	0.790607709144
10	299273	374983	299315	374880	0.225729758288	0.468051787644	0.950121166947	319.134171345	0.928470261998	41.3850982397	0.853317300236	1.04489804453
10	374983	417290	374880	417323	0.452501950032	0.467332657918	0.986360416181	268.982585485	0.931447417638	47.6514665663	0.873467819498	0.82051017702
10	417290	442802	417323	443458	0.685285355911	0.317658312608	0.777191194949	333.357247967	0.798118889968	56.0451005833	0.831059156349	0.779462687517
10	483032	540722	483599	540602	0.189946264517	0.507306632984	0.895351546487	540.529313878	0.900120515931	40.0538772344	0.863644236854	0.685893667156
10	540722	613131	540602	613109	0.513016337748	0.354448536003	0.927194042012	627.398986617	0.869147781951	59.4643836933	0.875525280053	0.861128701429
11	302969	328992	302778	329598	0.65073204473	0.274981357196	0.802269484035	389.201269038	0.824867775753	55.5300664069	0.832791658996	1.00716259387
11	447620	517596	447552	517848	0.622727792386	0.621173324229	0.985696683893	269.137689388	0.915737452897	44.0572627193	0.818419013122	1.04374415741
11	517596	612574	517848	612642	0.611362631346	0.640515222482	0.94725390566	278.282320171	0.914016102983	48.5404679784	0.863486326844	1.12647652004
12	91669	141200	92085	141275	0.493367789869	0.372148810734	0.928225121035	269.479983579	0.914485191563	31.9100180633	0.897568245907	0.391377370205
12	155214	231046	155543	230764	0.347768751978	0.645092460882	0.92814312129	325.765869311	0.882763004685	45.1633435678	0.915426342797	0.567134336651
12	231046	287589	230764	288484	0.941425110093	0.885793485793	0.967971497868	294.668002554	0.974235796986	23.1461329357	0.917357824335	0.369663726759
12	287589	373496	288484	373392	0.23591791123	0.483517454186	0.895852597213	534.895575264	0.878100223782	38.1948844653	0.894410941437	0.438431380239
12	744276	793353	744559	792961	0.560384701591	0.813706045205	0.919098196897	353.512009326	0.894923247389	36.5900194527	0.815512877648	0.647130584624
13	32309	94688	32292	94384	0.558793824845	0.620289248212	0.983779436199	296.455613204	0.933886645439	34.5045043279	0.866786449277	0.567757378039
13	759960	815364	759145	815057	0.112031622266	0.226874374016	0.920029221271	368.622196715	0.907561513789	31.513189076	0.825383681143	0.586020861445
15	167607	227640	167909	227480	0.534889144304	0.609323328465	0.978124682676	340.499947341	0.944370795858	39.7708927265	0.812583184787	0.635919991799
15	227640	277919	227480	277916	0.457785556594	0.526964866365	0.978391615838	352.253143316	0.952187900454	43.2659323226	0.877616040927	0.638240945753
15	336917	436558	337721	436737	0.486315873988	0.330345600711	0.965088498964	452.798341644	0.876304528959	40.0529969592	0.850237553126	0.720192743913
16	512169	634164	512295	634445	0.414127628181	0.37229226361	0.974066007546	275.755373864	0.950120868424	38.7483954487	0.925053009655	0.693987008516
16	685174	776656	684714	776625	0.440786165584	0.583379573718	0.959834642396	373.014706034	0.929411034621	34.7737660197	0.897740711699	0.668655479892
