"Chr"	"WT.O1"	"WT.O2"	"MUT.O1"	"MUT.O2"	"WT.Term.Ratio"	"MUT.Term.Ratio"	"Corr.Coeff"	"Euclidean.Dist"	"FirstDer.Corr"	"FirstDer.Dist"	"SecDer.Corr"	"SecDer.Dist"
1	31254	42057	31179	40502	0.617791354253	0.735278343881	0.983460309979	24.9596865326	0.963220328348	19.7925717081	0.92635642292	1.22607132593
1	42057	70645	40502	70679	0.203861760179	0.143000740078	0.781390329136	75.4532438607	0.876559794217	64.3476432867	0.809928888613	3.28762796208
1	147675	159639	147775	159619	0.426446004681	0.338990206011	0.91168071206	110.263482484	0.920608428491	63.2320171845	0.822526523805	2.40971760711
2	240154	255011	239844	254708	0.189607592381	0.0836921420883	0.839963898156	108.243063148	0.761659372709	44.0432675789	0.710138083007	0.910010504806
2	704903	741888	705200	741567	0.804542382047	0.835345230566	0.989604123466	55.6644752385	0.978327573005	13.7797099072	0.936474960719	0.31877736672
3	39589	74291	39521	74217	0.514696559276	0.50553377911	0.996320419584	144.440742055	0.940630739484	56.576954989	0.850095814638	2.66484005246
3	109344	132215	109549	132560	0.696908749071	0.70227282604	0.961644817501	90.2925782416	0.860168050768	54.939185854	0.746576900176	2.41677823324
3	166907	225035	166789	225090	0.349022846133	0.442508133079	0.973663959721	202.79222413	0.859160652926	90.0183095091	0.789833797919	3.29174460987
3	225035	272661	225090	272926	0.874522319741	0.816100844552	0.986905663034	192.905710756	0.943405938136	46.0849409502	0.900847799644	1.93644805651
4	47597	125254	46901	124271	0.370320769538	0.52985653354	0.977833350062	184.552131955	0.96223435538	17.1147005482	0.902315155215	0.318767316056
4	125254	215514	124271	215320	0.539253268336	0.492613867258	0.986334618228	188.789222434	0.967383535979	20.0241736819	0.917474750458	0.369536310434
4	215514	231113	215320	232455	0.506635040708	0.353195214473	0.982769719791	47.6631396265	0.960838262985	8.43403355821	0.959599491472	0.176589916944
4	410488	436495	409659	436261	0.301764909447	0.333959852643	0.981673532994	103.617553177	0.992126137357	19.170177556	0.934304134013	0.310511337806
4	436495	461624	436261	461930	0.478968522424	0.356227355955	0.98961004113	46.0705436025	0.974563858995	9.35908509622	0.930700521004	0.273246830854
4	461624	503388	461930	504397	0.77588353606	0.645607177338	0.924964561953	151.77216016	0.942526534595	18.1282712459	0.923257130668	0.34237744453
4	703357	750119	703242	750377	0.598434626406	0.620409462183	0.986770864936	78.2457320403	0.961031174223	14.8298951398	0.94972342111	0.217530016954
4	750119	807692	750377	808247	0.530352769527	0.556333160532	0.990849669468	136.831619474	0.95083284407	18.5543555801	0.878589146434	0.238988927461
4	1018140	1056365	1019818	1056468	0.711288423806	0.561473396999	0.905770760726	232.367394662	0.941342836315	18.4001573753	0.843955139172	0.349189405796
