"Chr"	"WT.O1"	"WT.O2"	"MUT.O1"	"MUT.O2"	"WT.Term.Ratio"	"MUT.Term.Ratio"	"Corr.Coeff"	"Euclidean.Dist"	"FirstDer.Corr"	"FirstDer.Dist"	"SecDer.Corr"	"SecDer.Dist"
7	389349	421184	389312	421367	0.426888644574	0.443581344564	0.994715295709	59.1091346656	0.980934221138	18.5416679585	0.925872914473	0.443275949185
11	389324	418480	389331	417980	0.416758128687	0.445251143146	0.996617710475	106.047452909	0.973848961517	20.4781984295	0.933775831978	0.530341179063
6	31210	69351	31609	68582	0.15112346294	0.0847645579206	0.853118787228	84.9864760537	0.889639350429	54.0584352386	0.859130804213	2.64055554056
16	210430	289406	210559	289208	0.221852208266	0.174471385523	0.985050812244	93.2532187684	0.971972286842	18.3850158891	0.908459497121	0.479394710978
7	978297	998848	978553	999180	0.458469174249	0.447714161051	0.989033436245	18.7333378458	0.95926787392	8.55813555285	0.912248548342	0.271988449129
9	247232	311422	247165	310813	0.555771927091	0.581149446958	0.986775104091	243.920555059	0.91122786085	51.105762012	0.849094398006	1.8687205012
10	204324	227424	204933	228307	0.748398268398	0.659450671686	0.984079903403	129.96305749	0.981983165339	15.0719781238	0.942571652135	0.422442855921
15	873618	907728	873907	907898	0.347991791264	0.370480421288	0.964858850429	168.995608869	0.936802341951	25.6860063751	0.937762648843	0.313617283486
16	289406	385064	289208	385022	0.625635074955	0.454343832843	0.976737417795	248.237064372	0.953221373028	29.9499497467	0.910501367146	0.541290187321
11	328992	389324	329598	389331	0.612345024199	0.813779652788	0.978713873195	174.386808777	0.953856480243	31.4740507502	0.882603163745	1.01033690229
13	94688	137521	94384	137440	0.44657156865	0.488456893348	0.986715431885	158.981256654	0.979648125439	22.8216829612	0.954302781649	0.353146154303
7	714433	777946	715091	777644	0.268559192606	0.27405560085	0.988101749729	238.810954933	0.945800972646	37.1584584181	0.765366087641	1.54501335609
12	660144	744276	659814	744559	0.4783910997	0.473066257596	0.974625914426	213.605439806	0.918908035593	34.6703686201	0.888255797798	0.685134319937
2	704903	741888	705200	741567	0.804542382047	0.835345230566	0.989604123466	55.6644752385	0.978327573005	13.7797099072	0.936474960719	0.31877736672
14	250804	281244	251325	280736	0.299770039422	0.250654517017	0.973820945541	60.4199131286	0.98343407891	11.2527162734	0.944605215542	0.292565649655
3	39589	74291	39521	74217	0.514696559276	0.50553377911	0.996320419584	144.440742055	0.940630739484	56.576954989	0.850095814638	2.66484005246
6	167728	199576	167704	199677	0.477643808088	0.423232102086	0.974160592812	153.352547125	0.82365481227	99.6267330614	0.775541263164	3.43601646577
8	359798	392010	359749	392694	0.443561405687	0.614251024435	0.906118258668	83.3051128928	0.87578107796	33.5006177084	0.846934844959	0.924572443723
9	33684	74226	34687	74101	0.149030634897	0.075658395494	0.88673015289	173.062086974	0.930994437691	37.0954896856	0.827865963742	1.23614439266
7	165233	203771	163760	204024	0.281618143131	0.484899662229	0.884372763473	203.725208667	0.92891846541	24.9227183147	0.809652710682	0.61414134016
1	147675	159639	147775	159619	0.426446004681	0.338990206011	0.91168071206	110.263482484	0.920608428491	63.2320171845	0.822526523805	2.40971760711
1	42057	70645	40502	70679	0.203861760179	0.143000740078	0.781390329136	75.4532438607	0.876559794217	64.3476432867	0.809928888613	3.28762796208
