Chr	WT O1	WT O2	MUT O1	MUT O2	WT Term Ratio	MUT Term Ratio	Corr Coeff	Euclidean Dist
1	31254	42057	31179	40502	0.617791354253	0.735278343881	0.983460309979	27.9211180646
1	42057	70645	40502	70679	0.203861760179	0.143000740078	0.781390329136	75.4542596303
1	70645	147675	70679	147775	0.327807347787	0.556340147349	0.922337389481	434.237268105
1	147675	159639	147775	159619	0.426446004681	0.338990206011	0.91168071206	110.263856018
1	159639	176146	159619	176230	0.458653904404	0.418879056047	0.98032546664	75.0142038173
2	63399	198436	63430	197951	0.463310055762	0.699165929483	0.945324707059	525.082676192
2	198436	240154	197951	239844	0.457596241431	0.64633709689	0.890036890515	353.587127066
2	240154	255011	239844	254708	0.189607592381	0.0836921420883	0.839963898156	108.414177528
2	255011	326286	254708	326195	0.354394949141	0.635821897688	0.886331434388	308.106092225
2	326286	407934	326195	407647	0.335011267882	0.655310284994	0.846595281029	393.611874226
2	407934	486935	407647	486773	0.558638498247	0.519626924146	0.986230849312	353.534356466
2	486935	623591	486773	623441	0.509066561293	0.451850469752	0.984505101782	291.714855103
2	623591	704903	623441	705200	0.722956021251	0.52292713952	0.924954994154	307.241074023
2	704903	741888	705200	741567	0.804542382047	0.835345230566	0.989604123466	55.7259613762
3	39589	74291	39521	74217	0.514696559276	0.50553377911	0.996320419584	144.448193639
3	74291	109344	74217	109549	0.32562120218	0.382938978829	0.405923013563	1114.17988455
3	109344	132215	109549	132560	0.696908749071	0.70227282604	0.961644817501	91.1901452235
3	132215	166907	132560	166789	0.487720511934	0.433258348184	0.880380966065	308.131331234
3	166907	225035	166789	225090	0.349022846133	0.442508133079	0.973663959721	202.794622567
3	225035	272661	225090	272926	0.874522319741	0.816100844552	0.986905663034	193.05819511
4	47597	125254	46901	124271	0.370320769538	0.52985653354	0.977833350062	185.538225978
4	125254	215514	124271	215320	0.539253268336	0.492613867258	0.986334618228	188.791939307
4	215514	231113	215320	232455	0.506635040708	0.353195214473	0.982769719791	49.7977825592
4	231113	328569	232455	329184	0.463183385323	0.469300830154	0.992858639716	350.880154932
4	328569	410488	329184	409659	0.52410307743	0.480012426219	0.97727399735	318.174208601
4	410488	436495	409659	436261	0.301764909447	0.333959852643	0.981673532994	103.627634811
4	436495	461624	436261	461930	0.478968522424	0.356227355955	0.98961004113	46.1528014928
4	461624	503388	461930	504397	0.77588353606	0.645607177338	0.924964561953	152.555209393
4	503388	555675	504397	555167	0.449365999197	0.455318101241	0.964574732357	161.679316623
4	555675	631066	555167	631703	0.800108766298	0.778117487196	0.959071295484	309.263083305
4	631066	703357	631703	703242	0.526123583849	0.464306182642	0.930607507589	165.181160187
4	703357	750119	703242	750377	0.598434626406	0.620409462183	0.986770864936	78.2557079466
4	750119	807692	750377	808247	0.530352769527	0.556333160532	0.990849669468	136.923367976
4	807692	914592	808247	915087	0.181824134705	0.46842006739	0.920687805239	251.423756266
4	914592	1018140	915087	1019818	0.522801019817	0.531008011	0.981043464796	272.748877163
4	1018140	1056365	1019818	1056468	0.711288423806	0.561473396999	0.905770760726	232.367854919
4	1056365	1162102	1056468	1161848	0.301228519818	0.424435376732	0.981510120949	258.466883317
4	1162102	1241921	1161848	1242133	0.806299252058	0.793498162795	0.993824103014	226.544219558
4	1241921	1303835	1242133	1304721	0.460574345059	0.232648431009	0.990623671479	85.6336825038
4	1303835	1353178	1304721	1352540	0.416512980565	0.467345615759	0.995267456249	150.889636554
4	1353178	1400540	1352540	1400877	0.741828892361	0.735709704781	0.929774114561	79.3762290852
4	1400540	1460776	1400877	1460499	0.364200810147	0.365653617792	0.996353255376	173.599718985
4	1460776	1500803	1460499	1499540	0.880955355135	0.840270484875	0.964782238877	67.2249285734
5	59377	94047	59297	93977	0.467378136718	0.401023644752	0.938549049018	283.713674678
5	94047	145536	93977	145556	0.519994561945	0.546559646368	0.97717642851	310.447934285
5	145536	173726	145556	173490	0.467328840014	0.42632634066	0.992079130081	98.7633988256
5	173726	211421	173490	211925	0.886908077994	0.892597892546	0.897019731355	141.858578765
