ORF.Name	GENE.Name	CHR	SGD.START	SGD.END	strand
YER056C	FCY2	5	268112	266511	C
YER190W	YRF1-2	5	571475	576520	W
YLR287C-A	RPS30A	12	713160	712539	C
YDR545W	YRF1-1	4	1526307	1531697	W
YLR467W	YRF1-5	12	1072506	1077896	W
YNL209W	SSB2	14	252060	253901	W
YPL283C	YRF1-7	16	6007	280	C
YNR016C	ACC1	14	661376	654675	C
YGR296W	YRF1-3	7	1084871	1090598	W
YHL001W	RPL14B	8	104272	105086	W
YPR010C	RPA135	16	581193	577582	C
YNL339C	YRF1-6	14	6098	371	C
YLR110C	CCW12	12	370099	369698	C
YDL130W	RPP1B	4	229906	230527	W
YBR189W	RPS9B	2	604503	605503	W
YLR342W	FKS1	12	809997	815627	W
YPL231W	FAS2	16	108652	114315	W
YNL069C	RPL16B	14	495002	493957	C
YLR061W	RPL22A	12	263195	263949	W
YiL078W	THS1	9	212496	214700	W
YDR033W	MRH1	4	508145	509107	W
YiL052C	RPL34B	9	257061	256224	C
YGL189C	RPS26A	7	148594	148235	C
YDL082W	RPL13A	4	308424	309388	W
YJL130C	URA2	10	172364	165720	C
YGR148C	RPL24B	7	787784	787317	C
YNL162W	RPL42A	14	331324	332156	W
YOR096W	RPS7A	15	505795	506768	W
YDL075W	RPL31A	4	322226	322988	W
YDR064W	RPS13	4	579457	580451	W
YJR145C	RPS4A	10	703059	702018	C
YLR075W	RPL10	12	282928	283593	W
YDR450W	RPS18A	4	1359916	1360791	W
YLR300W	EXG1	12	728957	730303	W
YOR153W	PDR5	15	619841	624376	W
YGR085C	RPL11B	7	648911	648387	C
YPL090C	RPS6A	16	378392	377288	C
YLL024C	SSA2	12	97484	95565	C
YKL182W	FAS1	11	100676	106831	W
YNL327W	EGT2	14	24047	27172	W
YKL006W	RPL14A	11	431549	432363	W
YBR181C	RPS6B	2	592769	591707	C
YOL120C	RPL18A	15	94402	93395	C
YGL031C	RPL24A	7	437939	437472	C
YML024W	RPS17A	13	225889	226697	W
YGL253W	HXK2	7	23935	25395	W
YOR234C	RPL33B	15	779406	778556	C
YKL180W	RPL17A	11	109274	110134	W
YDL083C	RPS16B	4	307789	306926	C
YJR009C	TDH2	10	454674	453676	C
YGL076C	RPL7A	7	365999	364338	C
YPR132W	RPS23B	16	794961	795763	W
YOR293W	RPS10A	15	867097	867851	W
YGL135W	RPL1B	7	254646	255299	W
YDL191W	RPL35A	4	117665	118518	W
YML026C	RPS18B	13	223828	222987	C
YKR057W	RPS21A	11	551299	551884	W
YPL143W	RPL33A	16	282121	282969	W
YDR050C	TPI1	4	556471	555725	C
YOR133W	EFT1	15	575099	577627	W
YNL112W	DBP2	14	413641	416283	W
YPL131W	RPL5	16	303120	304013	W
YDR385W	EFT2	4	1243223	1245751	W
YOR063W	RPL3	15	444688	445851	W
YJR123W	RPS5	10	651892	652569	W
YBR118W	TEF2	2	477665	479041	W
YiL133C	RPL16A	9	99416	98527	C
YGR034W	RPL26B	7	555816	556676	W
YBL072C	RPS8A	2	89123	88521	C
YOL121C	RPS19A	15	92850	92026	C
YER102W	RPS8B	5	363096	363698	W
YNL178W	RPS3	14	302682	303404	W
YBR031W	RPL4A	2	300166	301254	W
YNL302C	RPS19B	14	62943	61958	C
YHR010W	RPL27A	8	126515	127486	W
YGL103W	RPL28	7	310970	311930	W
YER117W	RPL23B	5	396765	397649	W
YCR012W	PGK1	3	137744	138994	W
YAL038W	CDC19	1	71787	73289	W
YGL123W	RPS2	7	277623	278387	W
YPR080W	TEF1	16	700592	701968	W
YOL086C	ADH1	15	160594	159548	C
YJL136C	RPS21B	10	157270	156547	C
YLR044C	PDC1	12	234082	232391	C
YLR249W	YEF3	12	636782	639916	W
YMR116C	ASC1	13	500687	499455	C
YBL087C	RPL23A	2	60735	59818	C
YGL008C	PMA1	7	482671	479915	C
YHR203C	RPS4B	8	505530	504476	C
YGR118W	RPS23A	7	726978	727735	W
YHR174W	ENO2	8	451327	452640	W
YFR031C-A	RPL2A	6	221406	220495	C
YKL060C	FBA1	11	327131	326052	C
YHR021C	RPS27B	8	148662	147864	C
YiL018W	RPL2B	9	316766	317930	W
YDL229W	SSB1	4	44066	45907	W
YGR192C	TDH3	7	883815	882817	C
YBR191W	RPL21A	2	606265	607135	W
YPL079W	RPL21B	16	406633	407536	W
