"Chr"	"WT.O1"	"WT.O2"	"MUT.O1"	"MUT.O2"	"WT.Term.Ratio"	"MUT.Term.Ratio"	"Corr.Coeff"	"Euclidean.Dist"	"FirstDer.Corr"	"FirstDer.Dist"	"SecDer.Corr"	"SecDer.Dist"
3	225035	272661	225090	272926	0.874522319741	0.816100844552	0.986905663034	192.905710756	0.943405938136	46.0849409502	0.900847799644	1.93644805651
8	115782	133279	115082	133246	0.485854717952	0.600473463995	0.87750999409	106.093123925	0.927909104574	38.6310923446	0.81953302599	0.996213524716
12	660144	744276	659814	744559	0.4783910997	0.473066257596	0.974625914426	213.605439806	0.918908035593	34.6703686201	0.888255797798	0.685134319937
9	342741	356703	343025	356222	0.387981664518	0.134879139198	0.905121162476	37.4988522877	0.927734926479	14.9536337442	0.92507487757	0.48077923428
16	821138	843097	820861	844555	0.321143950089	0.202793956276	0.991195009253	68.4559516705	0.971336762762	25.6498893032	0.889460754896	0.618054739722
7	978297	998848	978553	999180	0.458469174249	0.447714161051	0.989033436245	18.7333378458	0.95926787392	8.55813555285	0.912248548342	0.271988449129
5	353774	407130	353789	406782	0.59481595322	0.598362047818	0.992628895887	200.458770902	0.939084702076	39.5234637533	0.900509356858	0.919103686848
14	499122	562578	498651	563983	0.199019793243	0.224652543929	0.984657842797	112.434322498	0.950695838493	36.0951273179	0.846542583274	0.800039672271
4	703357	750119	703242	750377	0.598434626406	0.620409462183	0.986770864936	78.2457320403	0.961031174223	14.8298951398	0.94972342111	0.217530016954
15	566602	615928	565943	617100	0.601021773507	0.581503997498	0.725997930354	136.962664506	0.716841910186	37.0352505603	0.697160740591	0.755763235142
16	634164	685174	634445	684714	0.54799059008	0.552885476138	0.993154683866	149.672959932	0.975189191328	20.6894774434	0.937420770442	0.422258651155
10	453551	483032	455664	483599	0.681489773074	0.609199928405	0.877654895201	170.557046038	0.974076394956	17.9762585591	0.960030492634	0.405167410152
15	277919	307337	277916	309068	0.890033312938	0.769934514638	0.983320681934	171.855460161	0.971635202412	19.5083730262	0.863931780073	0.450267780416
9	214941	247232	214881	247165	0.758787278189	0.954466608846	0.927820917926	152.335922388	0.812115095619	53.5519221218	0.79321157173	1.16225449182
15	767758	855313	767611	855105	0.477654046028	0.471140878232	0.995450658303	224.99832708	0.972859845929	22.9375128287	0.892080224439	0.479326814001
5	173726	211421	173490	211925	0.886908077994	0.892597892546	0.897019731355	141.627989769	0.846396959473	44.4019213406	0.84094186989	0.899058135321
4	750119	807692	750377	808247	0.530352769527	0.556333160532	0.990849669468	136.831619474	0.95083284407	18.5543555801	0.878589146434	0.238988927461
4	1162102	1241921	1161848	1242133	0.806299252058	0.793498162795	0.993824103014	226.541908949	0.962277992128	18.0361008562	0.829956526482	0.294488875524
14	634761	691139	635287	691013	0.749689595232	0.718174640204	0.988903288107	209.317742805	0.972079611092	19.0379567312	0.926221765463	0.509529928472
13	228379	263631	228016	263882	0.159451945989	0.311464897117	0.9347807526	218.97476166	0.946253907638	23.4563281666	0.920061505283	0.328539756161
13	432015	470750	431992	469429	0.650083903446	0.800838742421	0.936581300643	121.769090378	0.900352720366	24.7898827584	0.889086798875	0.467092616486
14	713456	739099	712055	738332	0.342705611668	0.493435323667	0.933118936641	66.1026287362	0.919821942994	18.2969730116	0.889474805375	0.505751868892
6	167728	199576	167704	199677	0.477643808088	0.423232102086	0.974160592812	153.352547125	0.82365481227	99.6267330614	0.775541263164	3.43601646577
9	33684	74226	34687	74101	0.149030634897	0.075658395494	0.88673015289	173.062086974	0.930994437691	37.0954896856	0.827865963742	1.23614439266
13	536133	611877	536260	611828	0.589327207436	0.357611687487	0.992180861171	128.201572849	0.971375719317	23.3879675802	0.943907277631	0.479776009686
4	215514	231113	215320	232455	0.506635040708	0.353195214473	0.982769719791	47.6631396265	0.960838262985	8.43403355821	0.959599491472	0.176589916944
8	501984	518743	502240	519046	0.70129482666	0.658098298227	0.990643561248	35.9884713259	0.978968200747	10.4449088599	0.945759921297	0.374591854569
14	449239	499122	449540	498651	0.478960768198	0.468611919936	0.986133035659	124.884756432	0.950520295511	22.9780749575	0.89636737337	0.528452637945
13	649215	687643	649230	687166	0.841105443947	0.909057359764	0.993592274088	107.318237085	0.977744080349	16.5637122752	0.922854209353	0.321668956234
16	454801	512169	455758	512295	0.423807697671	0.447476873552	0.993470095392	125.844004977	0.978653175298	16.6617721653	0.933638030492	0.355319403494
12	412082	512618	412577	512394	0.495071417204	0.23324684172	0.981820278838	141.721992508	0.972009391232	23.444244398	0.907691149047	0.509380500246
12	793353	889233	792961	889274	0.699269920734	0.698067758247	0.972750109093	170.376061677	0.904820139644	32.1947798738	0.763055357543	0.77192637666
13	263631	286838	263882	286831	0.4374542164	0.358882739989	0.965964563596	101.508005736	0.937362196288	30.6016854483	0.899266157587	0.48733916881
7	165233	203771	163760	204024	0.281618143131	0.484899662229	0.884372763473	203.725208667	0.92891846541	24.9227183147	0.809652710682	0.61414134016
6	31210	69351	31609	68582	0.15112346294	0.0847645579206	0.853118787228	84.9864760537	0.889639350429	54.0584352386	0.859130804213	2.64055554056
10	204324	227424	204933	228307	0.748398268398	0.659450671686	0.984079903403	129.96305749	0.981983165339	15.0719781238	0.942571652135	0.422442855921
3	109344	132215	109549	132560	0.696908749071	0.70227282604	0.961644817501	90.2925782416	0.860168050768	54.939185854	0.746576900176	2.41677823324
8	167633	246456	167889	246598	0.549877573805	0.548437916884	0.950609282279	194.983695851	0.843447625061	60.0904294639	0.733118607407	1.74709326861
8	246456	297041	246598	297112	0.22482949491	0.208001742091	0.993563057364	133.357975194	0.948691927036	33.1185809347	0.884598886298	1.04128540928
16	163399	210430	163365	210559	0.479938763794	0.529548247659	0.894929652447	69.1477212345	0.914649293148	16.1234282574	0.884227483334	0.333409848478
4	503388	555675	504397	555167	0.449365999197	0.455318101241	0.964574732357	161.471642377	0.94476573883	23.8044138766	0.903247635779	0.423720791946
1	159639	176146	159619	176230	0.458653904404	0.418879056047	0.98032546664	74.9751726188	0.964909588481	88.6693131859	0.901187723689	9.18997544316
12	373496	412082	373392	412577	0.656222464106	0.620645655225	0.996596487707	177.135594956	0.981543465529	29.0583080573	0.867712945699	0.638962593247
4	1400540	1460776	1400877	1460499	0.364200810147	0.365653617792	0.996353255376	173.586778952	0.983025732225	17.5625078124	0.92192917958	0.349564922341
15	307337	336917	309068	337721	0.405578093306	0.320873905001	0.923846541703	47.9244454317	0.956039587875	16.4544722264	0.921024908462	0.292261761913
14	609997	634761	609909	635287	0.638063317719	0.793206714477	0.845486697281	165.564996253	0.852564948831	36.6204571561	0.888108472547	0.586850571478
11	153163	197290	153204	196547	0.599836834591	0.50654084858	0.949935786557	187.639911532	0.951832483061	26.4395082239	0.881884260091	0.672829912796
11	213328	258336	213015	258444	0.506865446143	0.284377820335	0.981778472328	160.377461237	0.953646527176	27.2730309881	0.843204105206	0.784123242456
